"","DATE","PRODUCT_LOCATION","PRODUCT_TYPE","FROM_GAS_DATE","TO_GAS_DATE","VOLUME WEIGHTED AVERAGE PRICE","QUANTITY","TOTAL_TRADES"
"1",2023-07-23,"WAL","Gas - NG DA Days NNt",2023-07-24,2023-07-24,10.85,17000,3
"2",2023-07-23,"WAL","Gas - NG Prompt NNt",2023-07-23,2023-07-23,10.83,7000,3
"3",2023-07-22,"WAL","Gas - NG DA Days NNt",2023-07-23,2023-07-23,11.1,3000,1
"4",2023-07-22,"WAL","Gas - NG Prompt NNt",2023-07-22,2023-07-22,11.15,20000,4
"5",2023-07-22,"WIL","Gas - NG DA Days NNt",2023-07-23,2023-07-23,11.4,2000,1
"6",2023-07-22,"WIL","Gas - NG Prompt NNt",2023-07-22,2023-07-22,11.3,5000,1
"7",2023-07-21,"MOO Non-Netted","Gas - NG DA Days",2023-07-22,2023-07-22,11.9,2000,1
"8",2023-07-21,"MOO Non-Netted","Gas - NG DA Days",2023-07-24,2023-07-24,11.9,7000,1
"9",2023-07-21,"MSP","Gas - NG Days",2023-07-23,2023-07-23,11.9,2000,1
"10",2023-07-21,"MSP","Gas - NG Prompt NNt",2023-07-21,2023-07-21,11.8,1000,1
"11",2023-07-21,"WAL","Gas - NG DA Days NNt",2023-07-22,2023-07-22,11.65,9000,2
"12",2023-07-21,"WAL","Gas - NG Days",2023-07-23,2023-07-23,11.7,2000,1
"13",2023-07-21,"WAL","Gas - NG Prompt NNt",2023-07-21,2023-07-21,11.6,16000,4
"14",2023-07-21,"WAL Non-Netted","Gas - NG DA Days NNt",2023-07-31,2023-07-31,11.9,3000,1
"15",2023-07-21,"WAL Non-Netted","Gas - NG DA Days NNt",2023-08-01,2023-08-01,11.9,2000,1
"16",2023-07-21,"WAL Non-Netted","Gas - NG Days",2023-07-24,2023-07-25,11.4,2500,1
"17",2023-07-21,"WAL Non-Netted","Gas - NG Prompt NNt",2023-07-22,2023-07-22,11.7,2000,1
"18",2023-07-21,"WIL","Gas - NG Prompt NNt",2023-07-21,2023-07-21,11.7,5000,1
"19",2023-07-20,"MSP","Gas - NG DA Days NNt",2023-07-21,2023-07-21,12.5,5000,1
"20",2023-07-20,"WAL","Gas - NG DA Days",2023-07-21,2023-07-21,11.8,5000,1
"21",2023-07-20,"WAL","Gas - NG DA Days NNt",2023-07-21,2023-07-21,11.83,10000,3
"22",2023-07-20,"WAL","Gas - NG Prompt NNt",2023-07-20,2023-07-20,11.76,19000,6
"23",2023-07-19,"MSP","Gas - NG DA Days",2023-07-20,2023-07-20,12.3,2000,1
"24",2023-07-19,"MSP","Gas - NG Days",2023-08-12,2023-08-22,12.5,4000,1
"25",2023-07-19,"WAL","Gas - NG DA Days",2023-07-20,2023-07-20,11.75,20000,2
"26",2023-07-19,"WAL","Gas - NG DA Days NNt",2023-07-20,2023-07-20,11.75,10000,1
"27",2023-07-19,"WAL","Gas - NG Days",2023-07-21,2023-07-23,11.75,20000,2
"28",2023-07-19,"WAL","Gas - NG Prompt NNt",2023-07-19,2023-07-19,11.57,36000,6
"29",2023-07-19,"WAL Non-Netted","Gas - NG Days",2023-08-01,2023-08-10,12,1000,1
"30",2023-07-19,"WAL Non-Netted","Gas - NG Days",2023-08-22,2023-08-31,12,1000,1
"31",2023-07-18,"WAL","Gas - NG DA Days",2023-07-19,2023-07-19,11.75,5000,1
"32",2023-07-18,"WAL","Gas - NG DA Days NNt",2023-07-19,2023-07-19,11.67,15000,3
"33",2023-07-18,"WAL","Gas - NG Prompt NNt",2023-07-18,2023-07-18,11.61,40000,9
"34",2023-07-18,"WAL","Gas - NG Prompt NNt",2023-07-19,2023-07-19,11.75,5000,1
"35",2023-07-18,"WAL","Gas - NG Prompt NNt",2023-07-20,2023-07-20,11.75,5000,1
"36",2023-07-18,"WAL Non-Netted","Gas - NG DA Days",2023-07-19,2023-07-19,11.65,5000,1
"37",2023-07-18,"WIL","Gas - NG DA Days NNt",2023-07-19,2023-07-19,11.9,5000,1
"38",2023-07-18,"WIL","Gas - NG Prompt NNt",2023-07-18,2023-07-18,11.9,5000,1
"39",2023-07-17,"SEQ","Gas - NG Prompt NNt",2023-07-17,2023-07-17,10.8,3000,1
"40",2023-07-17,"WAL","Gas - NG DA Days NNt",2023-07-18,2023-07-18,11.5,5000,1
"41",2023-07-17,"WAL","Gas - NG Days",2023-07-21,2023-07-21,11.25,3000,1
"42",2023-07-17,"WAL","Gas - NG Days",2023-07-22,2023-07-22,11.25,3000,1
"43",2023-07-17,"WAL","Gas - NG Days",2023-07-23,2023-07-23,11.25,3000,1
"44",2023-07-17,"WAL","Gas - NG Prompt NNt",2023-07-17,2023-07-17,11.42,19000,5
